,,OUTPUT PERIOD 32,,,,,,,,,,,,,,,,,
32,JAPAN,MEXICO,CHINA,U.K.,GERMAN,U.S.,TOTAL,,,,,Period,Country,Demand - Units P1,,,,,
Currency Cont Mark,0,,,,,,,,,,,,,,,,,,
Currency Settle Yen,0,,,,,,,,,,,,,,,,,,
Currency Settle Peso,0,,,,,,,,,,,,,,,,,,
Currency Settle Yuan,0,,,,,,,,,,,,,,,,,,
Currency Settle Pound,0,,,,,,,,,,,,,,,,,,
Currency Settle Mark,0,,,,,,,,,,,,,,,,,,
Number of companies Play,5,,,,,,,,,,,,,,,,,,
VC Per unit - next period P1,13.84149573,,,,,,,,,,,,,,,,,,
VC Per unit - next period P2,20.62261381,,,,,,,,,,,,,,,,,,
Curr Per Spot Rate,88,,,,,,,,,,,,,,,,,,
Curr Per Forward Rate,86,,,,,,,,,,,,,,,,,,
Production Qty Next full P1,264536,,,,,,,,,,,,,,,,,,
Production Qty Next full P2,316718,,,,,,,,,,,,,,,,,,
Factory 1 location,3,,,,,,,,,,,,,,,,,,
Factory 2 location,6,,,,,,,,,,,,,,,,,,
Max Construction Budget P1,634886.4,,,,,,,,,,,,,,,,,,
Max Construction Budget P2,950154,,,,,,,,,,,,,,,,,,
Economic Value Added,-262162.701,,,,,,,,,,,,,,,,,,
Absolute Quality - Product 1,0.671159088,,,,,,,,,,,,,,,,,,
Absolute Quality - Product 2,0.799323542,,,,,,,,,,,,,,,,,,
GreenP1,0.389459424,,,,,,,,,,,,,,,,,,
GreenP2,0.396272168,,,,,,,,,,,,,,,,,,
Green1_Avg,0.407398595,,,,,,,,,,,,,,,,,,
Green2_Avg,0.399711318,,,,,,,,,,,,,,,,,,
Net Operating Profit After Tax,1121032.982,,,,,,,,,,,,,,,,,,
Debt/Equity Ratio,0.804947908,,,,,,,,,,,,,,,,,,
Debt /(Debt + Equity),0.44596739,,,,,,,,,,,,,,,,,,
Equity/(Debt+Equity),0.55403261,,,,,,,,,,,,,,,,,,
Expected Return on Debt,0.065208,,,,,,,,,,,,,,,,,,
Expected Return on Equity,0.112074219,,,,,,,,,,,,,,,,,,
Level of debt,27063160,,,,,,,,,,,,,,,,,,
Level of Equity,33621007.93,,,,,,,,,,,,,,,,,,
Capital Charge,1383195.683,,,,,,,,,,,,,,,,,,
Dividends,0,,,,,,,,,,,,,,,,,,
Stock purchases,0,,,,,,,,,,,,,,,,,,
Stock Sales,0,,,,,,,,,,,,,,,,,,
Economic Value Added,-262162.701,,,,,,,,,,,,,,,,,,
WACC,0.091173413,,,,,,,,,,,,,,,,,,
Return on Invested Capital,0.073892946,,,,,,,,,,,,,,,,,,
